t,n_trades,total_volume,n_open_products,total_orders,p0_trades,p0_volume,p0_orders
0,1,4.0,1,1,1,4.0,1
1,2,6.0,1,1,2,6.0,1
2,1,4.0,1,2,1,4.0,2
3,3,8.0,1,2,3,8.0,2
4,4,16.0,1,2,4,16.0,2
5,4,12.0,1,1,4,12.0,1
6,2,8.0,1,2,2,8.0,2
7,4,12.0,1,1,4,12.0,1
8,2,8.0,1,2,2,8.0,2
9,3,8.0,1,2,3,8.0,2
10,2,8.0,1,2,2,8.0,2
11,1,4.0,1,3,1,4.0,3
12,2,4.0,1,3,2,4.0,3
13,1,4.0,1,4,1,4.0,4
14,1,4.0,1,4,1,4.0,4
15,0,0.0,1,5,0,0,5
16,2,8.0,1,6,2,8.0,6
17,4,12.0,1,5,4,12.0,5
18,0,0.0,1,6,0,0,6
19,0,0.0,1,7,0,0,7
20,0,0.0,1,8,0,0,8
21,2,8.0,1,9,2,8.0,9
22,2,4.0,1,9,2,4.0,9
23,1,4.0,1,10,1,4.0,10
24,1,4.0,1,10,1,4.0,10
25,0,0.0,1,11,0,0,11
26,1,4.0,1,12,1,4.0,12
27,3,8.0,1,12,3,8.0,12
28,2,8.0,1,12,2,8.0,12
29,1,4.0,1,13,1,4.0,13
30,1,4.0,1,14,1,4.0,14
31,2,4.0,1,14,2,4.0,14
32,1,4.0,1,15,1,4.0,15
33,1,4.0,1,15,1,4.0,15
34,1,4.0,1,16,1,4.0,16
35,0,0.0,1,17,0,0,17
36,1,4.0,1,18,1,4.0,18
37,3,8.0,1,18,3,8.0,18
38,1,4.0,1,18,1,4.0,18
39,1,4.0,1,19,1,4.0,19
40,3,8.0,1,19,3,8.0,19
41,1,4.0,1,20,1,4.0,20
42,2,8.0,1,20,2,8.0,20
43,0,0.0,1,21,0,0,21
44,4,12.0,1,21,4,12.0,21
45,0,0.0,1,22,0,0,22
46,3,12.0,1,22,3,12.0,22
47,0,0.0,1,23,0,0,23
48,4,12.0,1,22,4,12.0,22
49,5,16.0,1,22,5,16.0,22
50,1,4.0,1,22,1,4.0,22
51,1,4.0,1,23,1,4.0,23
52,3,8.0,1,23,3,8.0,23
53,2,8.0,1,23,2,8.0,23
54,1,4.0,1,24,1,4.0,24
55,3,8.0,1,24,3,8.0,24
56,1,4.0,1,25,1,4.0,25
57,2,8.0,1,25,2,8.0,25
58,3,8.0,1,25,3,8.0,25
59,2,8.0,1,25,2,8.0,25
60,1,4.0,1,26,1,4.0,26
61,1,4.0,1,27,1,4.0,27
62,2,4.0,1,27,2,4.0,27
63,1,4.0,1,28,1,4.0,28
64,1,4.0,1,28,1,4.0,28
65,1,4.0,1,29,1,4.0,29
66,3,8.0,1,29,3,8.0,29
67,3,12.0,1,29,3,12.0,29
68,4,12.0,1,29,4,12.0,29
69,3,12.0,1,29,3,12.0,29
70,3,8.0,1,29,3,8.0,29
71,1,4.0,1,29,1,4.0,29
72,2,8.0,1,30,2,8.0,30
73,3,8.0,1,30,3,8.0,30
74,1,4.0,1,30,1,4.0,30
75,1,4.0,1,31,1,4.0,31
76,4,12.0,1,31,4,12.0,31
77,2,8.0,1,31,2,8.0,31
78,3,8.0,1,31,3,8.0,31
79,2,8.0,1,31,2,8.0,31
80,2,8.0,1,32,2,8.0,32
81,2,4.0,1,32,2,4.0,32
82,0,0.0,1,33,0,0,33
83,2,8.0,1,33,2,8.0,33
84,2,8.0,1,34,2,8.0,34
85,3,8.0,1,34,3,8.0,34
86,2,8.0,1,34,2,8.0,34
87,3,8.0,1,34,3,8.0,34
88,1,4.0,1,35,1,4.0,35
89,2,8.0,1,35,2,8.0,35
90,3,8.0,1,35,3,8.0,35
91,1,4.0,1,36,1,4.0,36
92,2,8.0,1,36,2,8.0,36
93,0,0.0,1,37,0,0,37
94,0,0.0,1,38,0,0,38
95,3,8.0,1,38,3,8.0,38
96,3,12.0,1,38,3,12.0,38
97,4,12.0,1,38,4,12.0,38
98,1,4.0,1,38,1,4.0,38
99,0,0.0,1,39,0,0,39
